"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"5","11LQ63","Williamson's Sapsucker","NY","CONF","1","1",6.25,0.0625,1,"#FF0000","#FF0000"
"5","11LQ64","Williamson's Sapsucker","P","PROB","1","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"5","11LQ73","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ83","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ93","Williamson's Sapsucker","S","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"8","10FA43","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA44","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA45","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA46","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA53","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA54","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA55","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA56","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA61","Williamson's Sapsucker","NY","CONF","1","1",6.67,0.0667,1,"#FF0000","#FF0000"
"8","10FA62","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA63","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA64","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA71","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA73","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA75","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FV59","Williamson's Sapsucker","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"8","10FV68","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FV77","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FV78","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FV87","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FV89","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"9","10FA69","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"9","10FA89","Williamson's Sapsucker","CF","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"12","10FA35","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ73","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ77","Williamson's Sapsucker","V","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NQ78","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ87","Williamson's Sapsucker","AE","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NQ88","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NQ97","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NQ98","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NR70","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NR80","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ04","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ05","Williamson's Sapsucker","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ07","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ08","Williamson's Sapsucker","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ14","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ15","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ16","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ17","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ22","Williamson's Sapsucker","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ23","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ24","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ25","Williamson's Sapsucker","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"5","11KQ99","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ09","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ18","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ19","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ23","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ24","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ25","Williamson's Sapsucker","NU","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ26","Williamson's Sapsucker","NY","CONF","1","1",6.67,0.0667,1,"#FF0000","#FF0000"
"5","11LQ27","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ33","Williamson's Sapsucker","NY","CONF","1","1",6.67,0.0667,1,"#FF0000","#FF0000"
"5","11LQ35","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ43","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ44","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ53","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ54","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ63","Williamson's Sapsucker","NY","CONF","1","1",6.25,0.0625,1,"#FF0000","#FF0000"
"5","11LQ64","Williamson's Sapsucker","P","PROB","1","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"5","11LQ73","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ83","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ93","Williamson's Sapsucker","S","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"8","10FA43","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA44","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA45","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA46","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA53","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA54","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA55","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA56","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA61","Williamson's Sapsucker","NY","CONF","1","1",6.67,0.0667,1,"#FF0000","#FF0000"
"8","10FA62","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA63","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA64","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA71","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA73","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA75","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FV59","Williamson's Sapsucker","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"8","10FV68","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FV77","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FV78","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FV87","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FV89","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"9","10FA69","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"9","10FA89","Williamson's Sapsucker","CF","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"12","10FA35","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ73","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ77","Williamson's Sapsucker","V","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NQ78","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ87","Williamson's Sapsucker","AE","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NQ88","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NQ97","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NQ98","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NR70","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NR80","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ04","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ05","Williamson's Sapsucker","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ07","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ08","Williamson's Sapsucker","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ14","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ15","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ16","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ17","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ22","Williamson's Sapsucker","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ23","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ24","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ25","Williamson's Sapsucker","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"5","11KQ99","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ09","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ18","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ19","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ23","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ24","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ25","Williamson's Sapsucker","NU","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ26","Williamson's Sapsucker","NY","CONF","1","1",6.67,0.0667,1,"#FF0000","#FF0000"
"5","11LQ27","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ33","Williamson's Sapsucker","NY","CONF","1","1",6.67,0.0667,1,"#FF0000","#FF0000"
"5","11LQ35","Williamson's Sapsucker","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ43","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ44","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ53","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ54","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ63","Williamson's Sapsucker","NY","CONF","1","1",6.25,0.0625,1,"#FF0000","#FF0000"
"5","11LQ64","Williamson's Sapsucker","P","PROB","1","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"5","11LQ73","Williamson's Sapsucker","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ83","Williamson's Sapsucker","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
